Gene,P_value,minus_log10_p
Very-long-chain acyl-CoA dehydrogenase (VLCAD),2.582030273552187e-05,4.588038670063562
ALCAM Activated leucocyte cell adhesion molecule,2.6133722561186392e-05,4.582798723734842
REL V-rel avian reticuloendotheliosis viral oncogene homolog,2.6595242540044467e-05,4.575196044699571
Hepatocyte growth factor-like protein gene,3.028868701022926e-05,4.518719552569139
PTGIR Prostaglandin I2 (prostacyclin) receptor (IP),3.485946342444385e-05,4.457679302068155
Ahnak-Related Sequence,3.637015920816336e-05,4.439254797843405
RAS-RELATED PROTEIN RAB-1A,4.057042820311369e-05,4.3917904084833
GB DEF = C8FW phosphoprotein,4.115898787725844e-05,4.38553531332472
Ras-Like Protein Tc10,4.122936570979345e-05,4.384793346519417
ALDR1 Aldehyde reductase 1 (low Km aldose reductase),4.414686410190433e-05,4.355100140367451
BSG Basigin,4.422104256381786e-05,4.35437102262624
CTPS CTP synthetase,4.508834086256834e-05,4.345935745342984
HMOX1 Heme oxygenase (decycling) 1,4.836558083454827e-05,4.315463592306546
ALPHA-ACTININ 1; CYTOSKELETAL ISOFORM,4.858397304287773e-05,4.313506972856445
CHRNA7 Cholinergic receptor; nicotinic; alpha polypeptide 7,4.940313630860854e-05,4.306245479451128
ARHG Ras homolog gene family; member G (rho G),4.9598094754108004e-05,4.304535006043468
PRKAR2B Protein kinase; cAMP-dependent; regulatory; type II; beta,5.413263812905528e-05,4.266540807252692
Quiescin (Q6) mRNA; partial cds,5.451110450734296e-05,4.263515018181722
PROTEASOME IOTA CHAIN,5.501558464920034e-05,4.259514267443867
MPO Myeloperoxidase,5.757721749583325e-05,4.239749326873785
Dematin,5.837122927379607e-05,4.233801160532485
GB DEF = Chloride channel (putative) 2163bp,6.542796401877448e-05,4.18423659382618
ANPEP Alanyl (membrane) aminopeptidase (aminopeptidase N; aminopeptidase M; microsomal aminopeptidase; CD13),6.708550307581045e-05,4.1733713190917365
Orphan receptor mRNA; partial cds,6.890228929403855e-05,4.161766348320945
GB DEF = Fas (Apo-1; CD95),7.531350322264941e-05,4.123127150634214
Histone H2A.2 mRNA,7.54997836350769e-05,4.122054292956597
NADPH-flavin reductase,7.691565557586758e-05,4.113985253979991
MYL1 Myosin light chain (alkali),7.828555789147454e-05,4.106318349136753
Transcriptional activator hSNF2b,7.894039221505491e-05,4.102700720144571
Transcriptional activator hSNF2b,7.894039221505491e-05,4.102700720144571
GATA2 GATA-binding protein 2,7.982915405227872e-05,4.097838472913264
GATA2 GATA-binding protein 2,7.982915405227872e-05,4.097838472913264
GB DEF = Escherichia coli unknown mRNA,9.483900814731696e-05,4.0230129966423895
Tissue specific mRNA,9.506249372878295e-05,4.021990797253078
PLECKSTRIN,9.603485414630361e-05,4.017571118874676
GB DEF = Polyadenylate binding protein II,9.621487460765785e-05,4.016757781801555
CRYZ Crystallin zeta (quinone reductase),9.930637547229319e-05,4.003022868890772
Putative cyclin G1 interacting protein mRNA; partial sequence,0.00010447242949459885,3.98099830570762
Rhesus (Rh) Blood Group System Ce-Antigen; Alt. Splice 2; Rhvi,0.00010928934262320933,3.9614221863174164
AFFX-HUMTFRR/M11507_M_at (endogenous control),0.00011044162754182215,3.9568672019311424
MDU1 Antigen identified by monoclonal antibodies 4F2; TRA1.10; TROP4; and T43,0.0001134635359388705,3.9451436863555625
PACE Paired basic amino acid cleaving enzyme (furin; membrane associated receptor protein),0.00011469550805384982,3.9404535905174485
NFKB1 Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105),0.00011647382941439545,3.933771645605419
Pre-B cell enhancing factor (PBEF) mRNA,0.00011704150549852701,3.931660100540489
Nucleoside-diphosphate kinase,0.00011830519829140867,3.926996172196461
MHC class I-related protein mRNA,0.00011835609368404216,3.9268093770654846
AHNAK AHNAK nucleoprotein (desmoyokin),0.0001219019536784187,3.913989334045625
(HepG2) glucose transporter gene mRNA,0.00012473748530631408,3.9040030155245846
Spermidine/spermine N1-acetyltransferase (SSAT) gene,0.0001249023440282505,3.903429411193661
LMNA Lamin A,0.00012563423014360332,3.9008920171504387
GLUTATHIONE S-TRANSFERASE; MICROSOMAL,0.0001266542475001588,3.8973802410495173
Metallothionein I-B gene,0.00012694515508048808,3.896383869520162
Proto-oncogene BCL3 gene,0.00012835057308759908,3.8916021878555975
ZNF42 Zinc finger protein 42 (myeloid-specific retinoic acid-responsive),0.00012954495958187654,3.887579480156836
SNX1 Sorting nexin 1,0.00014420025333565403,3.8410339766333723
LAMP2 Lysosome-associated membrane protein 2 {alternative products},0.00014600379065864014,3.8356358685939242
LAMP2 Lysosome-associated membrane protein 2 {alternative products},0.00014600379065864014,3.8356358685939242
Transmembrane protein,0.00014952032515863414,3.8252997671773317
Fc-epsilon-receptor gamma-chain mRNA,0.00014957311554899825,3.825146460067577
GB DEF = (clone lambda-16-1) non-receptor tyrosine phosphatase 1 (PTPN1) gene; exon x+4 and 5' end cds,0.0001516497111823923,3.8191584124684694
No cluster in current Unigene and no Genbank entry for U77396 (qualifier U77396_at),0.00015533346541183357,3.808734968753228
HKR-T1,0.0001586658927077123,3.7995164204461624
CANX Calnexin,0.0001618303254696405,3.790940092426682
CANX Calnexin,0.0001618303254696405,3.790940092426682
ALDH1 Aldehyde dehydrogenase 1; soluble,0.00016420806471453836,3.7846055172834907
ADH4 gene for class II alcohol dehydrogenase (pi subunit); exon 1,0.00017267369088579178,3.762773827884329
SPTB Spectrin; beta; erythrocytic (includes sperocytosis; clinical type I),0.00017787713791852646,3.7498798670586697
FES Feline sarcoma (Snyder-Theilen) viral (v-fes)/Fujinami avian sarcoma (PRCII) viral (v-fps) oncogene homolog,0.00018626812217953855,3.7298614636550833
GTF2E2 General transcription factor TFIIE beta subunit; 34 kD,0.00018724549069533625,3.7275886323185548
EPB42 Erythrocyte membrane protein band 4.2,0.0001929666369780418,3.7145177719706526
GB DEF = Glycophorin Sta (type A) exons 3 and 4; partial,0.0001981289969694804,3.70305195907903
C1NH Complement component 1 inhibitor (angioedema; hereditary),0.00019821634459193292,3.7028605371695242
GRO2 GRO2 oncogene,0.00019899879246208319,3.7011495589101178
CTRB1 Chymotrypsinogen B1,0.00020582017585007577,3.6865120550795414
Soluble protein Jagged mRNA; partial cds,0.000207236312630119,3.6835341437475826
Oncoprotein 18 (Op18) gene,0.000208231953762352,3.6814526260365636
Ras-Related C3 Botulinum Toxin Substrate,0.00021492729684913505,3.6677084234191817
Platelet activating factor acetylhydrolase IB gamma-subunit,0.00021819142603665136,3.661162319275314
MPO from  Human myeloperoxidase gene; exons 1-4./ntype=DNA /annot=exon,0.00022179859718146652,3.6540412049779984
GAMMA-INTERFERON-INDUCIBLE PROTEIN IP-30 PRECURSOR,0.00022261428455549578,3.6524469716069414
CCND3 Cyclin D3,0.0002244700940870711,3.648841511400568
Thymopoietin beta mRNA,0.0002265632481383583,3.644810537655343
Tetracycline transporter-like protein mRNA,0.00023241997158407983,3.6337265562468706
NFKB2 Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),0.0002370020416289812,3.6252479127899737
NFKB2 Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),0.0002370020416289812,3.6252479127899737
GRN Granulin,0.00024655213354539266,3.608091234937825
CYSTATIN A,0.00024833241272788543,3.604966591963076
RNA-binding protein CUG-BP/hNab50 (NAB50) mRNA,0.00025045696495802275,3.601266886510795
AFFX-HUMTFRR/M11507_5_at (endogenous control),0.0002532153573438916,3.596509958182917
Clone 22 mRNA; alternative splice variant alpha-1,0.00026095848189402945,3.583428582771318
PTGS2 Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),0.0002683249184645021,3.571338993935905
Acid ceramidase mRNA,0.0002687704026986544,3.570618557985672
Bcl-2 related (Bfl-1) mRNA,0.0002698272545973658,3.5689141854149184
CSNK1D Casein kinase 1; delta,0.0002779735424330164,3.5559965383342838
Tax1-binding protein TXBP181 mRNA,0.0003030949618997768,3.5184212824951655
MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3,0.0003152631508996164,3.5013267881997283
MCM3 Minichromosome maintenance deficient (S. cerevisiae) 3,0.0003152631508996164,3.5013267881997283
PTX3 Pentaxin-related gene; rapidly induced by IL-1 beta,0.00032016705525742786,3.494623358412983
ZNF2 Zinc finger protein 2 (A1-5),0.00032378271108017483,3.4897463448443453
Uridine phosphorylase,0.00033061282907611,3.480680298106189
CD19 CD19 antigen,0.0003335245515780108,3.4768721910655986
MB-1 gene,0.0003535880997922545,3.4515023598397496
HD Huntingtin (Huntington disease),0.0003553174224820257,3.449383496979302
HD Huntingtin (Huntington disease),0.0003553174224820257,3.449383496979302
HD Huntingtin (Huntington disease),0.0003553174224820257,3.449383496979302
PHOSPHORIBOSYLAMINE--GLYCINE LIGASE,0.0003555740178306358,3.4490699808993392
L-kynurenine hydrolase mRNA,0.00036125814451426014,3.4421823530167694
PRTN3 Proteinase 3 (serine proteinase; neutrophil; Wegener granulomatosis autoantigen),0.00036175922570101627,3.441580384549069
PFKL Phosphofructokinase (liver type),0.00036778173955199486,3.4344098373836287
Cathepsin B,0.0003681031611114563,3.4340304530032997
TFRC Transferrin receptor (p90; CD71),0.0003691799566506535,3.4327618855234605
AFFX-HUMTFRR/M11507_3_at (endogenous control),0.00037647780629402916,3.424260620759782
SLC6A8 gene (creatine transporter) extracted from Human Xq28 cosmid; creatine transporter (SLC6A8) gene; and CDM gene; partial cds,0.0003882190374786309,3.41092317149996
RETINOBLASTOMA BINDING PROTEIN P48,0.00039067419557661505,3.408185273415052
Succinyl CoA:3-oxoacid CoA transferase precursor (OXCT) mRNA,0.0003959430619998028,3.402367262653244
CARCINOEMBRYONIC ANTIGEN PRECURSOR,0.00039646084101228977,3.4017997020970236
Metalloprotease/disintegrin/cysteine-rich protein precursor (MDC9) mRNA,0.0003966665681647379,3.4015744011729705
Fructose 6-phosphate;2-kinase/fructose 2;6-bisphosphatase,0.0004137940276027847,3.3832157819106725
GB DEF = Retinoblastoma susceptibility protein (RB1) L486W 4 bp deletion mutant (resulting in premature stop at amino acid 490) gene; exon 16 (L11910 bases 76983-77136),0.0004160083866811675,3.3808979139582616
Heat Shock Protein; 70 Kda (Gb:Y00371),0.0004229713345648762,3.373689064450344
APS Prostate specific antigen,0.00042335904511897843,3.373291157037251
Ninjurin1 mRNA,0.00042978838811732735,3.3667453223129176
Insulin-Like Leydig Hormone,0.0004437242823253718,3.352886804343258
GPX1 Glutathione peroxidase 1,0.0004457971205429573,3.3508627410068423
Estrogen sulfotransferase mRNA,0.00044944665501302965,3.3473218474419864
COL9A2 Collagen; type IX; alpha 2,0.00045370168823748305,3.343229604708286
Paired Box Hup1 (Gb:X15042),0.000460878142033312,3.336413888576328
STAT3 Signal transducer and activator of transcription 3 (acute-phase response factor),0.00047625634665283143,3.322159223814093
ADP-ribosylation factor-like protein 4 mRNA,0.00047883272196205893,3.31981617889641
Testis specific leucine rich repeat protein (TSLRP),0.0004823838116182623,3.3166072751689573
Inducible protein mRNA,0.00048303394632103006,3.316022347132849
LYZ Lysozyme,0.00048345571021793046,3.3156433058394885
LYZ Lysozyme,0.00048345571021793046,3.3156433058394885
LYZ Lysozyme,0.00048345571021793046,3.3156433058394885
NADH:ubiquinone oxidoreductase subunit B13 (B13) mRNA,0.0004837227121819398,3.315403520749402
NADH:ubiquinone oxidoreductase subunit B13 (B13) mRNA,0.0004837227121819398,3.315403520749402
Serine Hydroxymethyltransferase; Cytosolic; Alt. Splice 2,0.0004900982041032626,3.3097168888962094
GB DEF = P85 beta subunit of phosphatidyl-inositol-3-kinase,0.0004930994975949195,3.307065439958956
TRYPTOPHANYL-TRNA SYNTHETASE,0.0004987390404179627,3.3021266346401297
HOXB3 Homeo box B3,0.0005089061580576657,3.293362293881505
CYP2C18 Cytochrome P450; subfamily IIC (mephenytoin 4-hydroxylase); polypeptide 18,0.000516350544794776,3.287055360424337
GB DEF = Plectin,0.0005200198750987951,3.2839800573636975
LPAP gene,0.0005277816187570051,3.277545739184959
TCF11 Transcription factor 11 (basic leucine zipper type),0.0005339180951340097,3.272525360124149
IL1RN Interleukin 1 receptor antagonist,0.0005428961560782713,3.265283233311912
Macmarcks,0.0005516065689229762,3.2583705705781063
KIAA0022 gene,0.0005545216872018479,3.2560814640361775
HOXD3 gene,0.0005644933337440027,3.248341182410916
Allograft inflammatory factor-1 (AIF-1) mRNA,0.0005704745620237979,3.243763716397392
SPTAN1 Spectrin; alpha; non-erythrocytic 1 (alpha-fodrin),0.0005738169102207624,3.2412266573668576
CSTF1 Cleavage stimulation factor; 3' pre-RNA; subunit 1; 50kD,0.000575342284408842,3.2400737066096594
JUNB Jun B proto-oncogene,0.0005773538228462457,3.238557954236091
JUNB Jun B proto-oncogene,0.0005773538228462457,3.238557954236091
Transcription Factor Iia,0.0005813546157308864,3.2355588750543616
AARS Alanyl-tRNA synthetase,0.0005834572340633096,3.233990971136998
Serine kinase SRPK2 mRNA,0.0005927286395229273,3.2271440879688833
TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),0.0005986338045107315,3.2228387624407837
TCF3 Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),0.0005986338045107315,3.2228387624407837
PIM1 Pim-1 oncogene,0.0006095419499010518,3.2149963999986624
PIM1 Pim-1 oncogene,0.0006095419499010518,3.2149963999986624
GB DEF = GTP-binding protein (RAB3B) mRNA,0.0006165405117621264,3.2100383814255977
Huntingtin interacting protein (HIP1) mRNA,0.0006245051706268245,3.204463961508578
HMG1 High-mobility group (nonhistone chromosomal) protein 1,0.0006262093007074412,3.2032804863583193
Urokinase-type plasminogen activator receptor gene extracted from Human urokinase-type plasminogen receptor,0.0006279528041431902,3.20207299586538
RNH Ribonuclease/angiogenin inhibitor,0.0006308769292021213,3.200055354197145
SOD2 Superoxide dismutase 2; mitochondrial,0.0006351885661616722,3.1970973281149417
Cytokeratin 17,0.0006599265082321973,3.1805044263465483
CD37 CD37 antigen,0.0006602935336284474,3.180262955828965
ORF mRNA,0.0006854204932788602,3.1640429148100444
FCGR2B Fc fragment of IgG; low affinity IIb; receptor for (CD32),0.0006873367358913038,3.162830443856801
Guanine nucleotide regulatory protein (G13) mRNA,0.000699395146904346,3.155277385581214
ATP6A1 ATPase; H+ transporting; lysosomal (vacuolar proton pump); alpha polypeptide; 70kD; isoform 1,0.000709362934024116,3.1491315082370024
HLA-DRB1 Major histocompatibility complex; class II; DR beta 1,0.0007141208092243887,3.1462283115553236
CATHEPSIN G PRECURSOR,0.000717527933650188,3.1441611870065245
GB DEF = Tip associating protein (TAP) mRNA,0.0007178667570882495,3.143956157472596
LEUKOCYTE ELASTASE INHIBITOR,0.0007193040711433719,3.1430874816565364
Protein-tyrosine-phosphatase (tissue type: foreskin),0.0007290677978691161,3.1372320836554795
TOP2B Topoisomerase (DNA) II beta (180kD),0.0007329235045507131,3.134941350440901
CD86 CD86 antigen (CD28 antigen ligand 2; B7-2 antigen),0.0007380002774333662,3.1319434749144146
PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE 45 KD SUBUNIT,0.0007401403719745084,3.1306859059546954
Ral guanine nucleotide dissociation stimulator mRNA; partial cds,0.0007449236763060695,3.127888222093515
SDC2 Syndecan 2 (heparan sulfate proteoglycan 1; cell surface-associated; fibroglycan),0.0007714121129170057,3.1127135460096276
MNDA Myeloid cell nuclear differentiation antigen,0.0007734730614952424,3.111554807301
MSH2 DNA repair protein MSH2,0.0007806879202366475,3.1075225405215097
GB DEF = Nuclear factor kappa-B2 (NF-KB2) gene; partial cds,0.0007823085736833077,3.1066219100927883
UBIQUITIN-LIKE PROTEIN GDX,0.0007841898501443224,3.10557878312079
KIAA0239 gene; partial cds,0.00079973615525736,3.0970532695275397
CD22 CD22 antigen,0.0008094367359021759,3.091817089248183
GB DEF = Retinoblastoma susceptibility protein (RB1) gene; with a 3 bp deletion in exon 22 (L11910 bases 161855-162161),0.0008113559693580811,3.0907885642724047
NFIX Nuclear factor I/X (CCAAT-binding transcription factor),0.0008162673359440536,3.0881675820416588
PTMA Prothymosin alpha,0.0008313798011759711,3.080200531122057
3-HYDROXYANTHRANILATE 3;4-DIOXYGENASE,0.0008323930050533218,3.079671578003308
PGD Phosphogluconate dehydrogenase,0.0008426737368156049,3.0743405413033944
GYPB Glycophorin B,0.0008500487418322811,3.0705561711070133
KIAA0128 gene; partial cds,0.0008790684722878152,3.0559772955990487
Inositol 1;3;4-trisphosphate 5/6-kinase mRNA,0.0008856771309670919,3.052724569077449
GB DEF = IrlB mRNA,0.0008862548577235812,3.0524413713555467
Lymphocyte Chemoattractant Factor,0.0008866247187003751,3.052260164932099
FECH Ferrochelatase (protoporphyria),0.0008921177506544514,3.049577819296033
KIAA0159 gene,0.0008921702784296168,3.049552248847164
TRANSCRIPTION INITIATION FACTOR IIF; BETA SUBUNIT,0.0008930013857797232,3.049147867162943
CD83 ANTIGEN PRECURSOR,0.0008943157541024603,3.0485091187283033
APOC1 Apolipoprotein CI,0.000899168757094625,3.0461587916962007
SNCA Synuclein; alpha (non A4 component of amyloid precursor),0.0009078182562070063,3.042001087851992
IMMUNODEFICIENCY VIRUS TYPE I ENHANCER-BINDING PROTEIN 2,0.0009141322281377043,3.038990979542909
MDS1B (MDS1) mRNA,0.0009182420127157781,3.037042840656014
Serine palmitoyltransferase (LCB2) mRNA; partial cds,0.0009243199041140645,3.034177694854955
Interferon-gamma receptor alpha chain gene,0.000928838638182561,3.032059726946857
Homeotic Protein C6; Class I,0.0009300593364778054,3.031489343184947
Syntaxin mRNA,0.0009308255118575066,3.0311317221761302
Gal-beta(1-3/1-4)GlcNAc alpha-2.3-sialyltransferase,0.000940534201087967,3.0266254073717453
KIAA0110 gene,0.0009410981847771591,3.0263650642640543
GB DEF = HNL=neutrophil lipocalin [human; ovarian cancer cell line OC6; mRNA Partial; 534 nt],0.0009428762922118949,3.0255452840750334
FOS-RELATED ANTIGEN 2,0.0009444111284018399,3.0248389040848007
ERPROT 213-21 mRNA,0.0009483277088060098,3.023041559779529
(hybridoma H210) anti-hepatitis A IgG variable region; constant region; complementarity-determining regions mRNA,0.0009603550156119025,3.017568191106757
GB DEF = Neutrophil elastase gene; exon 5,0.0009783039991558755,3.0095261711418866
Oncogene Tls/Chop; Fusion Activated,0.0009799552272917354,3.0087937661282487
PERIPHERAL-TYPE BENZODIAZEPINE RECEPTOR,0.0009831099761184788,3.0073978968679307
ERYTHROCYTE PLASMA MEMBRANE 50 KD GLYCOPROTEIN,0.0009840770772064319,3.006970884399475
Skeletal muscle abundant protein,0.0009850486296460366,3.0065423288266433
UROD Uroporphyrinogen decarboxylase,0.000993627624602509,3.0027763428461776
UROD Uroporphyrinogen decarboxylase,0.000993627624602509,3.0027763428461776
ICAM1 Intercellular adhesion molecule 1 (CD54); human rhinovirus receptor,0.0009939187151511639,3.002649131704087
KIAA0077 gene; partial cds,0.0009964855638496647,3.00152898856996
Prostaglandin D2 synthase gene,0.0009984617442158983,3.0006685703468268
Activin type II receptor,0.0009984858311229356,3.0006580935461917
MANA2 Alpha mannosidase II isozyme,0.0010066772064272274,2.9971097647401046
HOXB2 Homeo box B2,0.0010086595685652986,2.9962553872226163
G protein-coupled receptor GPR-NGA gene,0.001019608108714939,2.9915667193422855
P130 mRNA for 130K protein,0.0010238053338109724,2.9897826121967532
ELA2 Elastatse 2; neutrophil,0.0010498625470353685,2.978867557093557
Low-Mr GTP-binding protein (RAB31) mRNA,0.0010596941708195275,2.9748194546311226
GB DEF = Jumonji putative protein (jumonji) mRNA,0.0010665875088776875,2.972003506774705
AK3 mRNA for adenylate kinase 3,0.0010678561221979838,2.9714872581171834
MYL1 Myosin; light polypeptide 1; alkali; skeletal; fast,0.0010736322923497934,2.969144434415759
ATP6B1 ATPase; H+ transporting; lysosomal (vacuolar proton pump); beta polypeptide; 56/58kD; isoform 1,0.0010739046117967791,2.9690342925750794
GB DEF = DNA for cellular retinol binding protein (CRBP) exons 3 and 4,0.001093697860640356,2.9611026373990423
SRP9 Signal recognition particle 9 kD protein,0.0010945220448584678,2.9607754868471035
Integrin cytoplasmic domain associated protein (Icap-1a) mRNA,0.001095212918750267,2.9605014420573537
T-COMPLEX PROTEIN 1; EPSILON SUBUNIT,0.0011070717128175128,2.955824245903407
FACL1 Long chain fatty acid acyl-coA ligase,0.0011307656355997247,2.9466273983574283
FACL1 Long chain fatty acid acyl-coA ligase,0.0011307656355997247,2.9466273983574283
Butyrophilin (BTF5) mRNA,0.0011369890646545622,2.944243712254235
Butyrophilin (BTF5) mRNA,0.0011369890646545622,2.944243712254235
LIPC Lipase; hepatic,0.0011370843925821458,2.944207301475319
Putative protein kinase C inhibitor (PKCI-1) mRNA,0.0011382189797577195,2.9437741768235286
Heterochromatin protein p25 mRNA,0.0011734199856927815,2.9305465191517515
Tubulin-folding cofactor E mRNA,0.0011750638529080192,2.929938533211698
RHD Rhesus blood group; D antigen,0.001178026079308297,2.9288450949697027
HSD17B3 Hydroxysteroid (17-beta) dehydrogenase 3,0.001183259993727296,2.9269198188250733
GB DEF = Somatostatin receptor gene,0.0012214167703454722,2.913136121331722
GB DEF = RNA polymerase II elongation factor ELL2,0.0012418520415475337,2.905930144390707
AFFX-PheX-M_at (endogenous control),0.0012447884905864943,2.9049044358571847
CAST Calpastatin,0.0012459307494676673,2.9045060956863624
EWSR1 Ewing sarcoma breakpoint region 1,0.001256639856708524,2.900789169931178
ACHE Acetylcholinesterase (YT blood group),0.0012646856068015534,2.8980174240543617
Breast cancer; estrogen regulated LIV-1 protein (LIV-1) mRNA; partial cds,0.0012678735006644037,2.896924075085186
SNRPN Small nuclear ribonucleoprotein polypeptide N,0.0012749930241982106,2.8944921913559174
Cytoplasmic dynein light chain 1 (hdlc1) mRNA,0.0012867972248856642,2.890489884371049
GNS Glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID),0.0013097249437048946,2.8828199012707705
GB DEF = PTX3 gene promotor region,0.001323678644387236,2.878217437788431
AKT1 V-akt murine thymoma viral oncogene homolog 1,0.0013293141405201529,2.876372375435884
GLRX Glutaredoxin (thioltransferase),0.0013507819018292928,2.869414766802043
PCBD 6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1),0.0013534014317297723,2.868573368422957
THBS1 Thrombospondin 1,0.001363459826342906,2.8653576538020196
ADA Adenosine deaminase,0.0013638764292522349,2.865224976105456
Myeloid progenitor inhibitory factor-1 MPIF-1 mRNA,0.0013736421247241232,2.862126399373988
